Trial,Accuracy,RT
0,0,4.375
1,0,4.5
2,0,4.5625
3,0,4.6875
4,0,4.1875
5,0,4.25
6,0,4.25
7,0,0.3125
8,1,0.25
9,0,4.5625
10,1,1.9375
11,0,4.9375
12,0,4.75
13,0,4.3125
14,1,0.125
15,0,0.3125
16,0,4.4375
17,0,4.5
18,0,4.1875
19,0,4.0625
20,0,4.0625
21,1,1.125
22,0,4.6875
23,1,0.125
24,0,4.375
25,0,5.0
26,0,0.125
27,0,4.5625
28,0,1.125
29,0,4.375
30,0,4.3125
31,0,4.5
32,1,0.125
33,0,4.0625
34,0,4.8125
35,0,4.3125
36,0,4.0625
37,1,0.8125
38,0,4.5
39,0,0.125
40,1,0.25
41,0,4.0625
42,0,4.8125
43,0,4.375
44,1,0.125
45,0,4.625
46,1,0.125
47,0,4.5
48,0,4.625
49,0,4.6875
50,0,0.125
51,1,0.1875
52,1,1.3125
53,0,4.5
54,1,0.125
55,1,0.1875
56,0,4.0625
57,1,0.5625
58,0,4.625
59,0,0.125
60,1,0.25
61,0,4.0625
62,1,0.1875
63,0,4.3125
64,0,4.0625
65,0,4.1875
66,0,0.125
67,0,4.625
68,1,1.25
69,0,4.0625
70,1,0.0625
71,1,0.1875
72,0,4.0625
73,0,5.0
74,0,0.125
75,1,1.3125
76,0,4.375
77,0,4.25
78,0,4.0625
79,1,0.375
80,0,4.0625
81,1,0.75
82,1,0.1875
83,0,4.75
84,0,4.5625
85,0,0.0625
86,0,4.0625
87,0,5.0
88,0,4.625
89,0,4.4375
90,0,4.375
91,0,0.125
92,0,4.3125
93,0,0.125
94,1,0.1875
95,1,0.25
96,0,0.1875
97,1,0.1875
98,1,0.1875
99,0,4.4375
100,0,0.125
101,1,0.1875
102,0,0.1875
103,0,4.5625
104,0,4.3125
105,1,0.125
106,1,0.1875
107,1,3.9375
108,0,4.0625
109,1,1.1875
110,0,4.3125
111,0,0.125
112,0,4.0625
113,0,5.0
114,0,4.5625
115,0,0.125
116,1,1.25
117,1,1.1875
118,1,1.3125
119,0,4.8125
120,0,4.3125
121,1,0.125
122,0,4.0625
123,0,5.0
124,1,0.125
125,0,4.9375
126,0,0.0625
127,0,4.4375
128,0,4.375
129,1,0.125
130,0,4.0625
131,0,4.0625
132,0,0.125
133,1,0.1875
134,1,0.1875
135,0,0.1875
136,0,0.25
137,0,4.4375
138,0,4.375
139,0,4.125
140,0,0.125
141,0,4.0625
142,1,0.5625
143,0,4.5625
144,1,0.125
145,1,2.375
146,0,4.375
147,0,4.875
148,0,0.125
149,0,4.0625
150,0,4.75
151,1,0.0625
152,0,4.375
153,0,4.3125
154,0,4.375
155,0,4.5625
156,0,4.25
157,1,0.125
158,0,4.375
159,0,4.375
160,0,4.0625
161,1,0.5
162,0,0.1875
163,0,4.4375
164,0,4.75
165,0,4.625
166,0,4.0625
167,0,4.0625
168,0,4.375
169,0,4.125
170,0,0.125
171,0,4.0625
172,0,0.5
173,0,0.1875
174,0,4.0625
175,0,0.75
176,1,0.1875
177,1,0.1875
178,1,0.1875
179,0,4.625
180,1,0.125
181,0,4.5
182,1,0.125
183,1,0.1875
184,0,4.0625
185,0,4.25
186,0,0.125
187,0,4.5
188,0,0.0625
189,0,0.25
190,0,4.5
191,1,0.125
192,0,0.25
193,1,1.25
194,0,4.0625
195,1,0.375
196,0,0.1875
197,0,4.375
198,0,4.25
199,0,4.4375
200,0,4.3125
201,1,0.125
202,0,4.4375
203,0,4.5625
204,1,0.125
205,1,1.3125
206,1,3.5625
207,0,4.3125
208,1,0.125
209,1,0.1875
210,1,0.1875
211,0,0.1875
212,0,4.0625
213,0,0.0625
214,0,4.4375
215,0,0.125
216,0,4.25
217,1,0.125
218,1,0.1875
219,0,4.3125
220,0,4.0625
221,0,4.625
222,1,0.0625
223,0,0.1875
224,0,4.0625
225,0,4.375
226,0,4.3125
227,0,4.375
228,0,0.0625
229,0,4.3125
230,1,0.125
231,1,0.25
232,0,4.3125
233,0,0.125
234,0,0.1875
235,1,0.1875
236,0,4.5625
237,1,0.125
238,0,4.375
239,0,4.1875
240,0,0.125
241,0,0.1875
242,0,0.3125
243,0,0.1875
244,0,4.5
245,0,0.125
246,0,0.1875
247,1,0.25
248,0,4.5
249,1,0.125
250,0,4.4375
251,1,0.125
252,0,0.1875
253,0,4.0625
254,0,4.6875
255,0,0.0625
256,1,1.375
257,0,4.5
258,0,4.3125
259,0,4.4375
260,0,4.25
261,1,0.1875
262,1,0.1875
263,0,4.625
264,0,4.3125
265,0,4.8125
266,0,0.125
267,1,1.25
268,0,4.0625
269,0,4.75
270,0,4.5625
271,1,0.125
272,1,0.1875
273,1,0.1875
274,1,0.25
275,0,4.375
276,0,0.125
277,1,0.1875
278,1,0.1875
279,1,0.1875
280,0,0.25
281,0,0.1875
282,1,0.25
283,0,4.25
284,1,1.375
285,0,4.4375
286,1,0.1875
287,1,0.1875
288,1,0.1875
289,0,4.875
290,1,0.0625
291,0,0.1875
292,1,0.25
293,0,0.1875
294,0,4.4375
295,0,4.625
296,0,4.4375
297,0,4.3125
298,1,0.1875
299,0,0.1875
300,0,4.3125
301,0,4.375
302,1,0.125
303,0,4.4375
304,0,0.125
305,0,4.4375
306,1,0.125
307,0,0.1875
308,0,4.75
309,1,0.0625
310,0,4.0625
311,0,4.6875
312,0,4.5
313,0,0.125
314,0,4.6875
315,0,4.4375
316,0,0.125
317,0,4.375
318,0,4.5
319,0,4.0625
320,0,0.4375
321,1,0.1875
322,0,4.4375
323,0,4.375
324,0,4.3125
325,0,4.875
326,1,0.125
327,0,4.4375
328,0,4.8125
329,0,0.125
330,0,0.1875
331,0,0.1875
332,0,4.0625
333,0,5.0
334,1,0.125
335,0,4.4375
336,0,4.0625
337,0,4.6875
338,0,4.25
339,0,0.0625
340,0,0.25
341,0,0.1875
342,0,4.3125
343,1,0.125
344,0,4.0625
345,0,0.75
346,0,4.4375
347,0,4.3125
348,0,4.0625
349,0,4.9375
350,0,4.8125
351,1,0.125
352,0,4.75
353,0,4.4375
354,1,0.0625
355,0,0.25
356,0,4.6875
357,1,0.125
358,1,0.1875
359,0,0.1875
360,0,4.0625
361,1,0.0625
362,0,0.3125
363,0,0.1875
364,0,4.4375
365,0,4.0625
366,1,0.125
367,1,0.1875
368,1,0.1875
369,0,0.1875
370,1,0.1875
371,0,0.1875
372,0,4.0625
373,0,4.0625
374,0,0.125
375,0,4.9375
376,0,0.0625
377,0,0.25
378,0,4.9375
379,0,4.75
380,1,0.125
381,0,4.5625
382,1,0.0625
383,1,0.1875
384,0,0.25
385,0,4.375
386,0,4.5625
387,0,4.0625
388,0,1.125
389,1,0.1875
390,0,4.5625
391,0,4.75
392,0,4.25
393,0,0.125
394,0,4.4375
395,0,4.0625
396,0,4.1875
397,0,0.125
398,1,0.1875
399,0,4.4375
400,1,0.125
401,0,4.6875
402,1,0.0625
403,1,0.1875
404,0,4.3125
405,0,4.0625
406,0,4.8125
407,0,0.125
408,0,4.375
409,1,0.125
410,0,0.25
411,0,0.1875
412,0,4.75
413,1,0.125
414,0,4.0625
415,1,0.625
416,0,4.5625
417,1,0.0625
418,0,4.4375
419,0,0.125
420,0,4.3125
421,1,0.0625
422,0,0.1875
423,0,4.0625
424,0,4.0625
425,1,0.125
426,1,3.4375
427,1,0.1875
428,1,0.1875
429,0,0.1875
430,0,4.3125
431,0,0.125
432,0,4.375
433,1,0.125
434,0,4.375
435,1,0.0625
436,0,4.375
437,0,4.25
438,1,1.1875
439,0,4.3125
440,1,0.0625
441,1,0.1875
442,0,0.25
443,0,0.25
444,0,0.1875
445,0,0.1875
446,0,4.4375
447,0,4.25
448,0,4.3125
449,0,0.125
450,0,0.1875
451,0,4.25
452,0,4.1875
453,1,0.125
454,0,4.3125
455,0,4.1875
456,0,4.25
457,0,0.125
458,1,1.25
459,0,4.0625
460,1,0.4375
461,1,0.1875
462,1,0.1875
463,0,0.1875
464,0,4.0625
465,0,4.4375
466,0,4.0625
467,0,0.4375
468,0,0.1875
469,0,0.25
470,1,0.1875
471,0,4.3125
472,0,4.3125
473,0,4.25
474,0,4.25
475,0,4.375
476,1,0.125
477,1,0.1875
478,0,0.1875
479,0,4.0625
480,0,4.6875
481,0,4.1875
482,0,4.375
483,1,0.125
484,0,4.625
485,0,4.125
486,0,4.0625
487,0,0.375
488,0,0.1875
489,0,0.25
490,1,0.1875
491,0,4.5625
492,0,0.125
493,0,0.1875
494,0,4.0625
495,0,4.5625
496,0,4.0625
497,0,4.6875
498,1,0.125
499,0,4.3125
500,0,4.1875
501,0,4.25
502,0,4.375
503,1,0.125
504,0,4.0625
505,0,4.75
506,1,0.125
507,1,0.1875
508,1,0.25
509,0,4.625
510,0,0.125
511,0,4.3125
512,0,4.4375
513,0,4.5
514,0,0.125
515,1,0.1875
516,0,4.4375
517,0,4.5
518,0,0.125
519,0,0.1875
520,0,0.1875
521,0,0.1875
522,0,0.1875
523,0,4.0625
524,0,0.4375
525,0,4.375
526,0,4.375
527,0,4.4375
528,0,4.1875
529,0,4.25
530,1,0.125
531,0,4.3125
532,0,0.125
533,0,4.4375
534,0,4.3125
535,0,4.375
536,1,0.125
537,0,4.4375
538,0,4.0625
539,1,0.375
540,0,4.375
541,1,0.125
542,0,4.4375
543,1,0.125
544,0,0.1875
545,0,4.375
546,0,4.0625
547,0,4.5
548,1,0.125
549,0,4.5625
550,0,4.375
551,0,4.625
552,0,4.25
553,0,4.4375
554,0,0.125
555,1,0.1875
556,0,4.3125
557,1,0.125
558,1,0.1875
559,0,0.3125
560,0,4.6875
561,1,0.125
562,0,4.4375
563,1,0.0625
564,0,4.0625
565,1,0.9375
566,0,4.3125
567,0,4.25
568,1,0.125
569,0,0.1875
570,1,0.1875
571,1,0.1875
572,0,4.0625
573,0,4.0625
574,0,4.0625
575,0,4.3125
576,0,4.0625
577,0,0.125
578,0,4.0625
579,0,4.125
580,1,0.125
581,0,0.1875
582,0,4.0625
583,1,0.0625
584,1,0.1875
585,1,0.25
586,1,0.1875
587,0,4.3125
588,1,1.125
589,1,0.1875
590,0,0.1875
591,0,4.0625
592,0,4.0625
593,0,0.125
594,0,4.0625
595,1,0.125
596,0,0.1875
597,1,0.1875
598,0,0.1875
599,1,1.3125
600,0,0.1875
601,1,0.1875
602,1,1.25
603,0,0.1875
604,0,4.0625
605,1,1.125
606,1,0.1875
607,0,4.0625
608,1,0.125
609,0,0.1875
610,0,0.1875
611,1,0.1875
612,0,0.1875
613,1,1.3125
614,1,0.1875
615,0,4.0625
616,1,0.125
617,0,0.1875
618,0,4.0625
619,0,4.0625
620,0,0.1875
621,0,4.0625
622,0,4.0625
623,1,1.125
624,0,4.3125
625,0,0.125
626,0,4.4375
627,0,4.0625
628,0,4.6875
629,0,0.125
630,1,0.1875
631,0,0.1875
632,0,0.1875
633,1,0.1875
634,0,4.3125
635,0,4.0625
636,1,0.125
637,0,0.1875
638,0,4.0625
639,0,4.4375
640,0,0.125
641,0,4.0625
642,1,0.5
643,0,4.0625
644,1,0.5625
645,1,1.25
646,1,0.1875
647,1,1.25
648,1,0.1875
649,1,0.25
650,1,0.1875
651,0,0.1875
652,1,1.25
653,1,0.25
654,1,0.1875
655,1,0.1875
656,0,0.1875
657,0,0.1875
658,1,1.3125
659,1,1.1875
660,1,1.25
661,0,4.3125
662,1,0.125
663,0,4.4375
664,1,1.125
665,0,4.0625
666,0,0.125
667,1,1.1875
668,0,4.0625
669,0,4.5625
670,1,0.1875
671,0,0.1875
672,0,4.375
673,1,1.25
674,0,4.4375
675,0,4.0625
676,0,0.125
677,0,0.1875
678,1,0.1875
679,1,0.1875
680,0,4.375
681,0,4.25
682,0,0.125
683,1,1.25
684,1,1.25
685,0,0.1875
686,1,0.25
687,0,0.1875
688,1,0.1875
689,0,4.4375
690,0,0.125
691,1,0.1875
692,1,1.3125
693,1,1.1875
694,0,4.0625
695,0,4.625
696,0,0.0625
697,0,4.625
698,1,1.1875
699,0,0.1875
700,0,4.375
701,0,4.375
702,0,4.3125
703,1,0.125
704,0,4.25
705,0,4.0625
706,0,4.625
707,1,0.0625
708,0,4.3125
709,0,4.0625
710,0,4.625
711,0,4.375
712,0,4.375
713,0,4.375
714,0,4.4375
715,0,0.125
716,0,4.0625
717,0,4.6875
718,1,0.125
719,1,0.1875
720,0,4.375
721,1,1.1875
722,1,0.1875
723,0,0.25
724,1,0.1875
725,0,0.1875
726,1,0.1875
727,0,4.5
728,0,4.1875
729,0,0.125
730,0,4.0625
731,0,4.75
732,0,0.0625
733,0,4.4375
734,0,0.125
735,0,4.3125
736,0,4.3125
737,0,4.5
738,0,4.25
739,0,4.375
740,0,0.125
741,0,0.1875
742,0,4.25
743,1,0.125
744,0,0.1875
745,0,4.4375
746,0,0.125
747,0,0.1875
748,1,0.1875
749,1,0.1875
750,1,0.25
751,1,0.25
752,0,0.1875
753,0,4.4375
754,1,0.125
755,0,0.1875
756,1,0.1875
757,0,0.25
758,1,0.1875
759,0,4.25
760,0,0.125
761,0,4.375
762,1,0.0625
763,0,0.25
764,0,4.4375
765,1,0.125
766,0,4.625
767,1,0.1875
768,1,0.1875
769,0,4.3125
770,0,4.25
771,0,4.625
772,0,4.75
773,0,4.3125
774,0,4.5
775,0,4.4375
776,1,0.125
777,0,4.375
778,0,0.125
779,1,0.1875
780,1,0.1875
781,0,0.1875
782,0,4.0625
783,0,4.0625
784,0,0.0625
785,0,4.0625
786,0,4.875
787,0,4.25
788,0,4.375
789,0,4.5
790,0,4.375
791,1,0.125
792,1,0.1875
793,0,4.4375
794,1,0.125
795,0,4.5625
796,0,0.0625
797,0,0.25
798,0,4.5625
799,0,4.25
800,1,1.25
801,0,4.25
802,0,4.0625
803,0,4.4375
804,1,0.1875
805,1,0.1875
806,1,1.25
807,0,4.0625
808,0,0.5
809,1,0.25
810,0,0.1875
811,1,0.1875
812,1,0.1875
813,1,0.1875
814,1,0.1875
815,0,0.1875
816,1,0.1875
817,0,4.0625
818,1,1.9375
819,1,1.3125
820,0,4.3125
821,1,1.1875
822,1,1.375
823,1,0.1875
824,0,4.3125
825,1,0.125
826,1,0.25
827,0,4.3125
828,0,0.125
829,0,0.1875
830,1,0.1875
831,1,0.1875
832,0,0.1875
833,0,4.0625
834,1,1.9375
835,1,1.3125
836,1,1.3125
837,0,4.3125
838,0,4.0625
839,0,4.9375
840,0,0.125
841,0,4.25
842,0,4.3125
843,0,0.125
844,0,4.4375
845,1,1.25
846,0,0.1875
847,1,1.375
848,1,0.1875
849,0,0.1875
850,0,4.4375
851,0,0.125
852,1,1.3125
853,0,0.1875
854,1,1.3125
855,0,4.3125
856,1,1.25
857,1,1.25
858,1,1.375
859,0,4.3125
860,1,0.0625
861,0,4.0625
862,1,1.625
863,0,4.3125
864,0,4.0625
865,1,1.75
866,1,1.8125
867,1,1.25
868,0,4.9375
869,0,0.125
870,1,0.1875
871,1,1.3125
872,0,4.3125
873,1,0.1875
874,1,1.3125
875,1,1.3125
876,0,4.375
877,0,4.25
878,1,1.375
879,0,4.0625
880,1,1.3125
881,1,0.1875
882,1,1.3125
883,1,1.4375
884,0,4.9375
885,0,0.125
886,0,0.1875
887,0,4.375
888,1,1.1875
889,0,4.3125
890,1,1.25
891,0,0.1875
892,0,4.3125
