BufferFrom,SlotFrom,BufferTo,SlotTo,Production,Value
VISUAL,SLOT1,VISUAL,SLOT1,FROM-VISUAL-SLOT1-TO-VISUAL-SLOT1,NA
VISUAL,SLOT1,VISUAL,SLOT2,FROM-VISUAL-SLOT1-TO-VISUAL-SLOT2,NA
VISUAL,SLOT1,VISUAL,SLOT3,FROM-VISUAL-SLOT1-TO-VISUAL-SLOT3,NA
VISUAL,SLOT1,IMAGINAL,SLOT1,FROM-VISUAL-SLOT1-TO-IMAGINAL-SLOT1,-4.8625
VISUAL,SLOT1,IMAGINAL,SLOT2,FROM-VISUAL-SLOT1-TO-IMAGINAL-SLOT2,-5.852262
VISUAL,SLOT1,IMAGINAL,SLOT3,FROM-VISUAL-SLOT1-TO-IMAGINAL-SLOT3,-4.8654094
VISUAL,SLOT1,GOAL,SLOT1,FROM-VISUAL-SLOT1-TO-GOAL-SLOT1,-4.007062
VISUAL,SLOT1,GOAL,SLOT2,FROM-VISUAL-SLOT1-TO-GOAL-SLOT2,-5.5476356
VISUAL,SLOT1,GOAL,SLOT3,FROM-VISUAL-SLOT1-TO-GOAL-SLOT3,-4.2317452
VISUAL,SLOT1,RETRIEVAL,SLOT1,FROM-VISUAL-SLOT1-TO-RETRIEVAL-SLOT1,-4.426888
VISUAL,SLOT1,RETRIEVAL,SLOT2,FROM-VISUAL-SLOT1-TO-RETRIEVAL-SLOT2,-1.8800621
VISUAL,SLOT1,RETRIEVAL,SLOT3,FROM-VISUAL-SLOT1-TO-RETRIEVAL-SLOT3,-4.8087006
VISUAL,SLOT1,MANUAL,SLOT1,FROM-VISUAL-SLOT1-TO-MANUAL-SLOT1,NIL
VISUAL,SLOT1,MANUAL,SLOT2,FROM-VISUAL-SLOT1-TO-MANUAL-SLOT2,NIL
VISUAL,SLOT1,MANUAL,SLOT3,FROM-VISUAL-SLOT1-TO-MANUAL-SLOT3,NIL
VISUAL,SLOT2,VISUAL,SLOT1,FROM-VISUAL-SLOT2-TO-VISUAL-SLOT1,NA
VISUAL,SLOT2,VISUAL,SLOT2,FROM-VISUAL-SLOT2-TO-VISUAL-SLOT2,NA
VISUAL,SLOT2,VISUAL,SLOT3,FROM-VISUAL-SLOT2-TO-VISUAL-SLOT3,NA
VISUAL,SLOT2,IMAGINAL,SLOT1,FROM-VISUAL-SLOT2-TO-IMAGINAL-SLOT1,-5.383025
VISUAL,SLOT2,IMAGINAL,SLOT2,FROM-VISUAL-SLOT2-TO-IMAGINAL-SLOT2,-5.2707343
VISUAL,SLOT2,IMAGINAL,SLOT3,FROM-VISUAL-SLOT2-TO-IMAGINAL-SLOT3,-4.6676583
VISUAL,SLOT2,GOAL,SLOT1,FROM-VISUAL-SLOT2-TO-GOAL-SLOT1,-5.2762613
VISUAL,SLOT2,GOAL,SLOT2,FROM-VISUAL-SLOT2-TO-GOAL-SLOT2,-4.3391924
VISUAL,SLOT2,GOAL,SLOT3,FROM-VISUAL-SLOT2-TO-GOAL-SLOT3,-4.9803724
VISUAL,SLOT2,RETRIEVAL,SLOT1,FROM-VISUAL-SLOT2-TO-RETRIEVAL-SLOT1,-4.9653163
VISUAL,SLOT2,RETRIEVAL,SLOT2,FROM-VISUAL-SLOT2-TO-RETRIEVAL-SLOT2,-5.1560707
VISUAL,SLOT2,RETRIEVAL,SLOT3,FROM-VISUAL-SLOT2-TO-RETRIEVAL-SLOT3,-4.970253
VISUAL,SLOT2,MANUAL,SLOT1,FROM-VISUAL-SLOT2-TO-MANUAL-SLOT1,-2.403851
VISUAL,SLOT2,MANUAL,SLOT2,FROM-VISUAL-SLOT2-TO-MANUAL-SLOT2,-1.94146
VISUAL,SLOT2,MANUAL,SLOT3,FROM-VISUAL-SLOT2-TO-MANUAL-SLOT3,-3.238008
VISUAL,SLOT3,VISUAL,SLOT1,FROM-VISUAL-SLOT3-TO-VISUAL-SLOT1,NA
VISUAL,SLOT3,VISUAL,SLOT2,FROM-VISUAL-SLOT3-TO-VISUAL-SLOT2,NA
VISUAL,SLOT3,VISUAL,SLOT3,FROM-VISUAL-SLOT3-TO-VISUAL-SLOT3,NA
VISUAL,SLOT3,IMAGINAL,SLOT1,FROM-VISUAL-SLOT3-TO-IMAGINAL-SLOT1,-5.3409986
VISUAL,SLOT3,IMAGINAL,SLOT2,FROM-VISUAL-SLOT3-TO-IMAGINAL-SLOT2,-4.2855296
VISUAL,SLOT3,IMAGINAL,SLOT3,FROM-VISUAL-SLOT3-TO-IMAGINAL-SLOT3,-5.10442
VISUAL,SLOT3,GOAL,SLOT1,FROM-VISUAL-SLOT3-TO-GOAL-SLOT1,-4.949228
VISUAL,SLOT3,GOAL,SLOT2,FROM-VISUAL-SLOT3-TO-GOAL-SLOT2,-4.958912
VISUAL,SLOT3,GOAL,SLOT3,FROM-VISUAL-SLOT3-TO-GOAL-SLOT3,-5.1427937
VISUAL,SLOT3,RETRIEVAL,SLOT1,FROM-VISUAL-SLOT3-TO-RETRIEVAL-SLOT1,-4.5882187
VISUAL,SLOT3,RETRIEVAL,SLOT2,FROM-VISUAL-SLOT3-TO-RETRIEVAL-SLOT2,-5.184797
VISUAL,SLOT3,RETRIEVAL,SLOT3,FROM-VISUAL-SLOT3-TO-RETRIEVAL-SLOT3,-4.2861156
VISUAL,SLOT3,MANUAL,SLOT1,FROM-VISUAL-SLOT3-TO-MANUAL-SLOT1,NIL
VISUAL,SLOT3,MANUAL,SLOT2,FROM-VISUAL-SLOT3-TO-MANUAL-SLOT2,NIL
VISUAL,SLOT3,MANUAL,SLOT3,FROM-VISUAL-SLOT3-TO-MANUAL-SLOT3,NIL
