Trial,Accuracy,RT
0,0,5.6875
1,0,5.0
2,0,5.375
3,1,0.25
4,0,5.75
5,0,5.9375
6,0,5.625
7,0,5.5
8,0,0.125
9,0,5.0
10,1,0.0625
11,0,5.4375
12,0,5.5
13,0,5.5
14,0,5.4375
15,1,0.125
16,0,5.8125
17,1,0.125
18,0,0.25
19,0,5.75
20,0,5.0
21,0,5.3125
22,0,5.6875
23,0,5.375
24,0,0.125
25,0,0.25
26,0,5.9375
27,0,5.0
28,0,4.9375
29,0,5.0
30,0,5.875
31,1,0.125
32,1,0.1875
33,1,1.25
34,0,5.5625
35,1,0.125
36,1,0.1875
37,0,5.75
38,1,0.125
39,0,5.0
40,1,1.1875
41,1,0.1875
42,1,0.1875
43,0,5.625
44,0,0.125
45,0,5.875
46,0,5.375
47,1,4.4375
48,1,0.1875
49,0,5.0625
50,0,0.0625
51,0,5.0625
52,0,5.5
53,0,0.125
54,0,0.1875
55,1,0.1875
56,1,0.1875
57,0,0.1875
58,1,0.1875
59,0,0.25
60,0,5.375
61,1,1.1875
62,0,5.9375
63,1,0.0625
64,0,0.25
65,0,4.9375
66,0,0.125
67,0,5.8125
68,0,5.4375
69,0,0.125
70,0,5.0
71,1,0.0625
72,0,5.4375
73,0,0.0625
74,0,0.1875
75,0,5.0
76,0,5.6875
77,0,5.0
78,0,0.125
79,0,5.375
80,0,0.125
81,0,5.4375
82,0,5.0
83,0,5.3125
84,0,5.5625
85,1,0.0625
86,0,0.25
87,0,5.0625
88,0,5.25
89,0,5.5
90,0,0.125
91,0,5.0
92,0,0.125
93,0,5.0
94,0,6.0
95,0,0.1875
96,0,0.3125
97,0,5.375
98,0,0.125
99,1,0.1875
100,1,0.25
101,1,0.1875
102,1,1.25
103,0,0.1875
104,1,0.1875
105,0,5.6875
106,0,5.625
107,1,0.125
108,0,5.375
109,1,1.1875
110,1,0.25
111,0,0.1875
112,0,5.5625
113,1,0.125
114,0,5.75
115,0,5.875
116,1,0.125
117,1,0.1875
118,0,0.1875
119,0,0.1875
120,0,5.4375
121,0,5.5
122,0,0.125
123,0,5.0
124,0,5.3125
125,0,5.0
126,1,0.125
127,0,5.4375
128,0,5.3125
129,1,1.3125
130,1,0.1875
131,1,1.5
132,1,0.1875
133,0,5.0625
134,1,1.25
135,0,0.1875
136,0,0.1875
137,0,0.1875
138,1,1.25
139,1,1.375
140,0,5.5625
141,0,5.125
142,0,5.875
