BufferFrom,SlotFrom,BufferTo,SlotTo,Production,Value
VISUAL,SLOT1,VISUAL,SLOT1,FROM-VISUAL-SLOT1-TO-VISUAL-SLOT1,NA
VISUAL,SLOT1,VISUAL,SLOT2,FROM-VISUAL-SLOT1-TO-VISUAL-SLOT2,NA
VISUAL,SLOT1,VISUAL,SLOT3,FROM-VISUAL-SLOT1-TO-VISUAL-SLOT3,NA
VISUAL,SLOT1,IMAGINAL,SLOT1,FROM-VISUAL-SLOT1-TO-IMAGINAL-SLOT1,-7.4535856
VISUAL,SLOT1,IMAGINAL,SLOT2,FROM-VISUAL-SLOT1-TO-IMAGINAL-SLOT2,-7.8550844
VISUAL,SLOT1,IMAGINAL,SLOT3,FROM-VISUAL-SLOT1-TO-IMAGINAL-SLOT3,-7.3986855
VISUAL,SLOT1,GOAL,SLOT1,FROM-VISUAL-SLOT1-TO-GOAL-SLOT1,-2.923396
VISUAL,SLOT1,GOAL,SLOT2,FROM-VISUAL-SLOT1-TO-GOAL-SLOT2,-7.465844
VISUAL,SLOT1,GOAL,SLOT3,FROM-VISUAL-SLOT1-TO-GOAL-SLOT3,-7.207756
VISUAL,SLOT1,RETRIEVAL,SLOT1,FROM-VISUAL-SLOT1-TO-RETRIEVAL-SLOT1,-7.6446133
VISUAL,SLOT1,RETRIEVAL,SLOT2,FROM-VISUAL-SLOT1-TO-RETRIEVAL-SLOT2,-7.3211164
VISUAL,SLOT1,RETRIEVAL,SLOT3,FROM-VISUAL-SLOT1-TO-RETRIEVAL-SLOT3,-7.7828856
VISUAL,SLOT1,MANUAL,SLOT1,FROM-VISUAL-SLOT1-TO-MANUAL-SLOT1,NIL
VISUAL,SLOT1,MANUAL,SLOT2,FROM-VISUAL-SLOT1-TO-MANUAL-SLOT2,NIL
VISUAL,SLOT1,MANUAL,SLOT3,FROM-VISUAL-SLOT1-TO-MANUAL-SLOT3,NIL
VISUAL,SLOT2,VISUAL,SLOT1,FROM-VISUAL-SLOT2-TO-VISUAL-SLOT1,NA
VISUAL,SLOT2,VISUAL,SLOT2,FROM-VISUAL-SLOT2-TO-VISUAL-SLOT2,NA
VISUAL,SLOT2,VISUAL,SLOT3,FROM-VISUAL-SLOT2-TO-VISUAL-SLOT3,NA
VISUAL,SLOT2,IMAGINAL,SLOT1,FROM-VISUAL-SLOT2-TO-IMAGINAL-SLOT1,-7.6303544
VISUAL,SLOT2,IMAGINAL,SLOT2,FROM-VISUAL-SLOT2-TO-IMAGINAL-SLOT2,-7.5755963
VISUAL,SLOT2,IMAGINAL,SLOT3,FROM-VISUAL-SLOT2-TO-IMAGINAL-SLOT3,-7.912871
VISUAL,SLOT2,GOAL,SLOT1,FROM-VISUAL-SLOT2-TO-GOAL-SLOT1,-7.6751003
VISUAL,SLOT2,GOAL,SLOT2,FROM-VISUAL-SLOT2-TO-GOAL-SLOT2,-8.007261
VISUAL,SLOT2,GOAL,SLOT3,FROM-VISUAL-SLOT2-TO-GOAL-SLOT3,-7.7805223
VISUAL,SLOT2,RETRIEVAL,SLOT1,FROM-VISUAL-SLOT2-TO-RETRIEVAL-SLOT1,-7.7729154
VISUAL,SLOT2,RETRIEVAL,SLOT2,FROM-VISUAL-SLOT2-TO-RETRIEVAL-SLOT2,-7.147622
VISUAL,SLOT2,RETRIEVAL,SLOT3,FROM-VISUAL-SLOT2-TO-RETRIEVAL-SLOT3,-7.531949
VISUAL,SLOT2,MANUAL,SLOT1,FROM-VISUAL-SLOT2-TO-MANUAL-SLOT1,-0.8825849
VISUAL,SLOT2,MANUAL,SLOT2,FROM-VISUAL-SLOT2-TO-MANUAL-SLOT2,-3.9374099
VISUAL,SLOT2,MANUAL,SLOT3,FROM-VISUAL-SLOT2-TO-MANUAL-SLOT3,-4.3329515
VISUAL,SLOT3,VISUAL,SLOT1,FROM-VISUAL-SLOT3-TO-VISUAL-SLOT1,NA
VISUAL,SLOT3,VISUAL,SLOT2,FROM-VISUAL-SLOT3-TO-VISUAL-SLOT2,NA
VISUAL,SLOT3,VISUAL,SLOT3,FROM-VISUAL-SLOT3-TO-VISUAL-SLOT3,NA
VISUAL,SLOT3,IMAGINAL,SLOT1,FROM-VISUAL-SLOT3-TO-IMAGINAL-SLOT1,-7.7967706
VISUAL,SLOT3,IMAGINAL,SLOT2,FROM-VISUAL-SLOT3-TO-IMAGINAL-SLOT2,-7.1498847
VISUAL,SLOT3,IMAGINAL,SLOT3,FROM-VISUAL-SLOT3-TO-IMAGINAL-SLOT3,-7.5158696
VISUAL,SLOT3,GOAL,SLOT1,FROM-VISUAL-SLOT3-TO-GOAL-SLOT1,-7.7954984
VISUAL,SLOT3,GOAL,SLOT2,FROM-VISUAL-SLOT3-TO-GOAL-SLOT2,-7.820843
VISUAL,SLOT3,GOAL,SLOT3,FROM-VISUAL-SLOT3-TO-GOAL-SLOT3,-7.164159
VISUAL,SLOT3,RETRIEVAL,SLOT1,FROM-VISUAL-SLOT3-TO-RETRIEVAL-SLOT1,-7.6971
VISUAL,SLOT3,RETRIEVAL,SLOT2,FROM-VISUAL-SLOT3-TO-RETRIEVAL-SLOT2,-7.3124266
VISUAL,SLOT3,RETRIEVAL,SLOT3,FROM-VISUAL-SLOT3-TO-RETRIEVAL-SLOT3,-7.324751
VISUAL,SLOT3,MANUAL,SLOT1,FROM-VISUAL-SLOT3-TO-MANUAL-SLOT1,NIL
VISUAL,SLOT3,MANUAL,SLOT2,FROM-VISUAL-SLOT3-TO-MANUAL-SLOT2,NIL
VISUAL,SLOT3,MANUAL,SLOT3,FROM-VISUAL-SLOT3-TO-MANUAL-SLOT3,NIL
