BufferFrom,SlotFrom,BufferTo,SlotTo,Production,Value
VISUAL,SLOT1,VISUAL,SLOT1,FROM-VISUAL-SLOT1-TO-VISUAL-SLOT1,NA
VISUAL,SLOT1,VISUAL,SLOT2,FROM-VISUAL-SLOT1-TO-VISUAL-SLOT2,NA
VISUAL,SLOT1,VISUAL,SLOT3,FROM-VISUAL-SLOT1-TO-VISUAL-SLOT3,NA
VISUAL,SLOT1,IMAGINAL,SLOT1,FROM-VISUAL-SLOT1-TO-IMAGINAL-SLOT1,-964.2951
VISUAL,SLOT1,IMAGINAL,SLOT2,FROM-VISUAL-SLOT1-TO-IMAGINAL-SLOT2,-965.5478
VISUAL,SLOT1,IMAGINAL,SLOT3,FROM-VISUAL-SLOT1-TO-IMAGINAL-SLOT3,-965.10834
VISUAL,SLOT1,GOAL,SLOT1,FROM-VISUAL-SLOT1-TO-GOAL-SLOT1,-964.5436
VISUAL,SLOT1,GOAL,SLOT2,FROM-VISUAL-SLOT1-TO-GOAL-SLOT2,-965.7338
VISUAL,SLOT1,GOAL,SLOT3,FROM-VISUAL-SLOT1-TO-GOAL-SLOT3,-969.29565
VISUAL,SLOT1,RETRIEVAL,SLOT1,FROM-VISUAL-SLOT1-TO-RETRIEVAL-SLOT1,-966.00665
VISUAL,SLOT1,RETRIEVAL,SLOT2,FROM-VISUAL-SLOT1-TO-RETRIEVAL-SLOT2,-225.10703
VISUAL,SLOT1,RETRIEVAL,SLOT3,FROM-VISUAL-SLOT1-TO-RETRIEVAL-SLOT3,-966.1296
VISUAL,SLOT1,MANUAL,SLOT1,FROM-VISUAL-SLOT1-TO-MANUAL-SLOT1,NIL
VISUAL,SLOT1,MANUAL,SLOT2,FROM-VISUAL-SLOT1-TO-MANUAL-SLOT2,NIL
VISUAL,SLOT1,MANUAL,SLOT3,FROM-VISUAL-SLOT1-TO-MANUAL-SLOT3,NIL
VISUAL,SLOT2,VISUAL,SLOT1,FROM-VISUAL-SLOT2-TO-VISUAL-SLOT1,NA
VISUAL,SLOT2,VISUAL,SLOT2,FROM-VISUAL-SLOT2-TO-VISUAL-SLOT2,NA
VISUAL,SLOT2,VISUAL,SLOT3,FROM-VISUAL-SLOT2-TO-VISUAL-SLOT3,NA
VISUAL,SLOT2,IMAGINAL,SLOT1,FROM-VISUAL-SLOT2-TO-IMAGINAL-SLOT1,-965.2933
VISUAL,SLOT2,IMAGINAL,SLOT2,FROM-VISUAL-SLOT2-TO-IMAGINAL-SLOT2,-965.7808
VISUAL,SLOT2,IMAGINAL,SLOT3,FROM-VISUAL-SLOT2-TO-IMAGINAL-SLOT3,-965.6282
VISUAL,SLOT2,GOAL,SLOT1,FROM-VISUAL-SLOT2-TO-GOAL-SLOT1,-970.3135
VISUAL,SLOT2,GOAL,SLOT2,FROM-VISUAL-SLOT2-TO-GOAL-SLOT2,-965.8677
VISUAL,SLOT2,GOAL,SLOT3,FROM-VISUAL-SLOT2-TO-GOAL-SLOT3,-966.1001
VISUAL,SLOT2,RETRIEVAL,SLOT1,FROM-VISUAL-SLOT2-TO-RETRIEVAL-SLOT1,-966.0886
VISUAL,SLOT2,RETRIEVAL,SLOT2,FROM-VISUAL-SLOT2-TO-RETRIEVAL-SLOT2,-965.55396
VISUAL,SLOT2,RETRIEVAL,SLOT3,FROM-VISUAL-SLOT2-TO-RETRIEVAL-SLOT3,-965.6611
VISUAL,SLOT2,MANUAL,SLOT1,FROM-VISUAL-SLOT2-TO-MANUAL-SLOT1,-3.4698412
VISUAL,SLOT2,MANUAL,SLOT2,FROM-VISUAL-SLOT2-TO-MANUAL-SLOT2,3.5605009
VISUAL,SLOT2,MANUAL,SLOT3,FROM-VISUAL-SLOT2-TO-MANUAL-SLOT3,-3.593835
VISUAL,SLOT3,VISUAL,SLOT1,FROM-VISUAL-SLOT3-TO-VISUAL-SLOT1,NA
VISUAL,SLOT3,VISUAL,SLOT2,FROM-VISUAL-SLOT3-TO-VISUAL-SLOT2,NA
VISUAL,SLOT3,VISUAL,SLOT3,FROM-VISUAL-SLOT3-TO-VISUAL-SLOT3,NA
VISUAL,SLOT3,IMAGINAL,SLOT1,FROM-VISUAL-SLOT3-TO-IMAGINAL-SLOT1,-965.5626
VISUAL,SLOT3,IMAGINAL,SLOT2,FROM-VISUAL-SLOT3-TO-IMAGINAL-SLOT2,-965.557
VISUAL,SLOT3,IMAGINAL,SLOT3,FROM-VISUAL-SLOT3-TO-IMAGINAL-SLOT3,-965.15344
VISUAL,SLOT3,GOAL,SLOT1,FROM-VISUAL-SLOT3-TO-GOAL-SLOT1,-966.06494
VISUAL,SLOT3,GOAL,SLOT2,FROM-VISUAL-SLOT3-TO-GOAL-SLOT2,-965.505
VISUAL,SLOT3,GOAL,SLOT3,FROM-VISUAL-SLOT3-TO-GOAL-SLOT3,-965.61316
VISUAL,SLOT3,RETRIEVAL,SLOT1,FROM-VISUAL-SLOT3-TO-RETRIEVAL-SLOT1,-965.62164
VISUAL,SLOT3,RETRIEVAL,SLOT2,FROM-VISUAL-SLOT3-TO-RETRIEVAL-SLOT2,-964.9664
VISUAL,SLOT3,RETRIEVAL,SLOT3,FROM-VISUAL-SLOT3-TO-RETRIEVAL-SLOT3,-965.3043
VISUAL,SLOT3,MANUAL,SLOT1,FROM-VISUAL-SLOT3-TO-MANUAL-SLOT1,NIL
VISUAL,SLOT3,MANUAL,SLOT2,FROM-VISUAL-SLOT3-TO-MANUAL-SLOT2,NIL
VISUAL,SLOT3,MANUAL,SLOT3,FROM-VISUAL-SLOT3-TO-MANUAL-SLOT3,NIL
