BufferFrom,SlotFrom,BufferTo,SlotTo,Production,Value
VISUAL,SLOT1,VISUAL,SLOT1,FROM-VISUAL-SLOT1-TO-VISUAL-SLOT1,NA
VISUAL,SLOT1,VISUAL,SLOT2,FROM-VISUAL-SLOT1-TO-VISUAL-SLOT2,NA
VISUAL,SLOT1,VISUAL,SLOT3,FROM-VISUAL-SLOT1-TO-VISUAL-SLOT3,NA
VISUAL,SLOT1,IMAGINAL,SLOT1,FROM-VISUAL-SLOT1-TO-IMAGINAL-SLOT1,-4.038824
VISUAL,SLOT1,IMAGINAL,SLOT2,FROM-VISUAL-SLOT1-TO-IMAGINAL-SLOT2,-6.005333
VISUAL,SLOT1,IMAGINAL,SLOT3,FROM-VISUAL-SLOT1-TO-IMAGINAL-SLOT3,-4.9506636
VISUAL,SLOT1,GOAL,SLOT1,FROM-VISUAL-SLOT1-TO-GOAL-SLOT1,-4.9317455
VISUAL,SLOT1,GOAL,SLOT2,FROM-VISUAL-SLOT1-TO-GOAL-SLOT2,-2.6340575
VISUAL,SLOT1,GOAL,SLOT3,FROM-VISUAL-SLOT1-TO-GOAL-SLOT3,-4.3042073
VISUAL,SLOT1,RETRIEVAL,SLOT1,FROM-VISUAL-SLOT1-TO-RETRIEVAL-SLOT1,-4.0792036
VISUAL,SLOT1,RETRIEVAL,SLOT2,FROM-VISUAL-SLOT1-TO-RETRIEVAL-SLOT2,-4.4571934
VISUAL,SLOT1,RETRIEVAL,SLOT3,FROM-VISUAL-SLOT1-TO-RETRIEVAL-SLOT3,-5.7036743
VISUAL,SLOT1,MANUAL,SLOT1,FROM-VISUAL-SLOT1-TO-MANUAL-SLOT1,NIL
VISUAL,SLOT1,MANUAL,SLOT2,FROM-VISUAL-SLOT1-TO-MANUAL-SLOT2,NIL
VISUAL,SLOT1,MANUAL,SLOT3,FROM-VISUAL-SLOT1-TO-MANUAL-SLOT3,NIL
VISUAL,SLOT2,VISUAL,SLOT1,FROM-VISUAL-SLOT2-TO-VISUAL-SLOT1,NA
VISUAL,SLOT2,VISUAL,SLOT2,FROM-VISUAL-SLOT2-TO-VISUAL-SLOT2,NA
VISUAL,SLOT2,VISUAL,SLOT3,FROM-VISUAL-SLOT2-TO-VISUAL-SLOT3,NA
VISUAL,SLOT2,IMAGINAL,SLOT1,FROM-VISUAL-SLOT2-TO-IMAGINAL-SLOT1,-4.0636363
VISUAL,SLOT2,IMAGINAL,SLOT2,FROM-VISUAL-SLOT2-TO-IMAGINAL-SLOT2,-4.227852
VISUAL,SLOT2,IMAGINAL,SLOT3,FROM-VISUAL-SLOT2-TO-IMAGINAL-SLOT3,-3.8314204
VISUAL,SLOT2,GOAL,SLOT1,FROM-VISUAL-SLOT2-TO-GOAL-SLOT1,-5.4676714
VISUAL,SLOT2,GOAL,SLOT2,FROM-VISUAL-SLOT2-TO-GOAL-SLOT2,-4.832222
VISUAL,SLOT2,GOAL,SLOT3,FROM-VISUAL-SLOT2-TO-GOAL-SLOT3,-4.502325
VISUAL,SLOT2,RETRIEVAL,SLOT1,FROM-VISUAL-SLOT2-TO-RETRIEVAL-SLOT1,-5.2986436
VISUAL,SLOT2,RETRIEVAL,SLOT2,FROM-VISUAL-SLOT2-TO-RETRIEVAL-SLOT2,-5.555334
VISUAL,SLOT2,RETRIEVAL,SLOT3,FROM-VISUAL-SLOT2-TO-RETRIEVAL-SLOT3,-3.0566573
VISUAL,SLOT2,MANUAL,SLOT1,FROM-VISUAL-SLOT2-TO-MANUAL-SLOT1,0.8246515
VISUAL,SLOT2,MANUAL,SLOT2,FROM-VISUAL-SLOT2-TO-MANUAL-SLOT2,-2.2417603
VISUAL,SLOT2,MANUAL,SLOT3,FROM-VISUAL-SLOT2-TO-MANUAL-SLOT3,-2.831997
VISUAL,SLOT3,VISUAL,SLOT1,FROM-VISUAL-SLOT3-TO-VISUAL-SLOT1,NA
VISUAL,SLOT3,VISUAL,SLOT2,FROM-VISUAL-SLOT3-TO-VISUAL-SLOT2,NA
VISUAL,SLOT3,VISUAL,SLOT3,FROM-VISUAL-SLOT3-TO-VISUAL-SLOT3,NA
VISUAL,SLOT3,IMAGINAL,SLOT1,FROM-VISUAL-SLOT3-TO-IMAGINAL-SLOT1,-3.3054676
VISUAL,SLOT3,IMAGINAL,SLOT2,FROM-VISUAL-SLOT3-TO-IMAGINAL-SLOT2,-3.8533785
VISUAL,SLOT3,IMAGINAL,SLOT3,FROM-VISUAL-SLOT3-TO-IMAGINAL-SLOT3,-5.305459
VISUAL,SLOT3,GOAL,SLOT1,FROM-VISUAL-SLOT3-TO-GOAL-SLOT1,-4.2975183
VISUAL,SLOT3,GOAL,SLOT2,FROM-VISUAL-SLOT3-TO-GOAL-SLOT2,-6.3124614
VISUAL,SLOT3,GOAL,SLOT3,FROM-VISUAL-SLOT3-TO-GOAL-SLOT3,-4.7881403
VISUAL,SLOT3,RETRIEVAL,SLOT1,FROM-VISUAL-SLOT3-TO-RETRIEVAL-SLOT1,-5.2171855
VISUAL,SLOT3,RETRIEVAL,SLOT2,FROM-VISUAL-SLOT3-TO-RETRIEVAL-SLOT2,-4.0716004
VISUAL,SLOT3,RETRIEVAL,SLOT3,FROM-VISUAL-SLOT3-TO-RETRIEVAL-SLOT3,-6.6885824
VISUAL,SLOT3,MANUAL,SLOT1,FROM-VISUAL-SLOT3-TO-MANUAL-SLOT1,NIL
VISUAL,SLOT3,MANUAL,SLOT2,FROM-VISUAL-SLOT3-TO-MANUAL-SLOT2,NIL
VISUAL,SLOT3,MANUAL,SLOT3,FROM-VISUAL-SLOT3-TO-MANUAL-SLOT3,NIL
